내용,평점,공감수,작성일
"다좋아요 임다,송대익,김승배,보겸,슈기 다좋아요양팡님도",5.0,0,2020-1-30
아니 회원가입할때 실제로 있는 이메일인데... 계속 올바른 형식 이메일이 올바르지 않다고 하면서 계속 다시확인 해달라고 하자나요... 그러니까 회원가입이 안돼서 기분이 않좋아요... 제이메일은 sji4111@outlook인데 지짜않돼잔아요 페치해주세요!!!!! 꼭,1.0,91,2018-12-22
회원가입을 하려고하는데 자동가입방지가 계속 쳐도 아니라면서 다시하라그러고;; 휴대폰 껏다키고 몇일 기다렸다가해보고 했는데도 계속 틀렸다고 다시하라네요 정확히쳤는데... 이것만되면 별 5개줄수도 있을것같네요,3.0,0,2019-1-27
강제퇴장 기준이 뭔가요.... 도대체 진짜 채팅도 아무것도 안하고 있었는데... Pc하고 핸드폰 같이켜서 그런건가요? 그전엔 안그랬는데 도대체 뭐가 문제인거죠? 진짜 화가나네요 진짜 어이가없네 욕 나오네요,1.0,20,2018-9-26
아이디가 생각나지 않아서 '이메일 찾기'로 찾아보니 등록되지 않은 이메일이라고 나옵니다 그래서 새로 가입을 해보니 이미 등록된 메일 주소라고 나옵니다. 어쩌라는 겁니까?,1.0,0,2019-1-13
"제발 업뎃좀해요 피드백 무시하지마시고 진짜 다시보기 버퍼 죽이고 싶어요. 데이터랑 기가와이파인데 안되는건 앱문제 아닌가 진짜 버퍼 요즘 왜이래요 10 초에 1번씩 버벅도 아니고 버벅버버버벅법벅 거려서 개빡쳐요 제발 어떻게 해보세요 왜이래요 진짜 제가원래 웬만하면 3주고다니는 사람인데 몇주째 뭐볼라카면 버법버벞법법 거려서 못봐요 진짜 진심으로 개빡치니까 제발 어떻게해주세요,",1.0,4,2018-10-13
매일같이 아프리카를 보는 시청자 입장에서 아쉬운점이 있어서 글남깁니다.. 생방송을 볼때는 크게 불편한점은 없습니다. 문제는 다시보기를 할때있습니다. 많은분들이 말씀하시듯 다시보기가 화질이 원본화질로 고정되있어서 4g이상에 데이터나 5g급 와이파이에서만 버퍼없이 재생이 되고 있습니다. 일반 와이파이나 무제한데이터로 보면 버퍼가 너무 심하여서 시청을 할수가 없습니다 제발 다시보기도 화질설정을 할수있게 해주시면 감사하겠습니다. 또한 4g/5g 환경에서 버퍼없이 시청중에도 정상재생중 화면은 멈추고 소리만 나오는 경우가 꽤 높은 비율로 발생...,3.0,1,2018-9-19
모바일 아프리카 네트워크 연결이 끊겼다고 접속이 않되요데이터 말고 와이파이에서 끊겨서 접속 않되요삼성 갤럭시폰이랑 엘지폰은 접속되는데요 스카이 IM100 만 접속이 않되네요 빠른 해결 좀 해주세요 제 폰은 스카이 IM100입니다.,1.0,1,2019-1-9
"업뎃이후로 내 방송국 접속시 방송종료했는데도 불구하고 방송중인걸로 뜨네요, 게시글 전체보기로 하면 최근 올린 게시글이 특정게시판가야지만 보이는 버그가 있네요, 수정부탁드립니다.",2.0,1,2019-6-18
스타방송을즐겨보는 시청자인데요 모바일 가로모드볼때 예전처럼 채팅창 축소모드좀 넣어주세요 원래스타는 겜하면서 플레이랑 챗창반응보는재미인데 업뎃되고나서 고로모드채팅창이 최소화안되고 미니맵이랑 밑화면다가리네요  그렇다고 챗창끄고보면노잼이고,4.0,2,2019-6-19
아직 적응이 필요함. 이번 업데이트로 인터페이스부분에서는 매우만족스러운데 계속써왔던 사람들한테는 불편한부분도 많고 가끔 화면이 자동으로 꺼지는 오류도 발생하는듯! 앞으로 개선할거라 생각하면 긍정적인 업데이트,5.0,0,2019-6-25
업데이트이후에 문제점 입니다. 블루투스이어폰을 사용 중에 라디오기능을 하고 앱을 닫아서 듣고 있으면 한 1분정도 후에 소리가 계속 끈겨서 들립니다. 확인 하시고 업데이트 부탁드립니다.,3.0,5,2019-6-30
요즘 방송보다가 자꾸 팅겨버려서 어플 삭제하고 다시 다운받았는데 계속 그러네요...재밌게 시청하다가 흐름끊겨버려서 보다가 나온적이 한두번이 아닙니다. 이거 좀 어떻게 해봐요,2.0,1,2019-7-4
아진짜 너무 짜증나서 여기에다가 올리는데 자꾸 회원가입이나 아이디나 비번 찾으려고 화면만 들어가면 일본어만 뜨고 계속 그래서 핸드폰 설정 들어가서 확실하게 한국어로 바꾸 어도 자꾸 일본어로 되고 그리고 예전에는 아이 디 인증을 해도 로그인이 안되고 진짜 미치겠 어요 아프리카 티비 방송보고 별풍도 쏘고 하고 싶은데 진짜 안되요 이것좀 어떻게 해주세요,1.0,0,2019-7-23
제가 회원가입을하려고 회원가입을 눌러서들어갔는데 로그인이 다 일본어로 되어있더라구요...;; 얼른 하고싶은데 일본어를 잘 몰라서 몇달 째 깔아놓기 만하고 헤매고잇습니다;;^^빨리 수정좀 해주시면 안될가요^^,3.0,0,2019-9-7
하..별풍은초딩들못쏘나요??그리고왜뭐만하면다로고인져?진짜이건그냥영상만보라는거잖아요 ; 로고인좀없에주세요,2.0,0,2020-1-26
노트10+ 인데 아프리카 TV 설정만 누르면 앱이 나가지네요;;,1.0,0,2020-2-16
업데이트는 왜 강제로 하게하는건가요 진지하게 물어봅니다.,1.0,0,2020-2-29
모바일앱 출시한 이유가 뭐죠? 아이디 지맘대로 잠기고 휴대폰 인증하려고 하면 아이핀인증하라그러고 뒤지게 답답하네요 진짜 왜 회원가입 만든건지 얼탱이없네요,1.0,0,2020-3-4
1시간이나 지났는데도 들어가지지가 않는데 왜 고치지 않는거 같죠. 최대한 빨리고쳐주는게 좋을거 같습니다. 오늘 8시때는 들어가졌는데 10신가 그때부터 못들어 갔습니다 빨리고쳐주세요,1.0,13,2019-1-9
"언제부터인지 정확하게는 모르겠지만 아마 4월 말? 5월 초부터 와이파이로 시청할때 신호세기 130Mbps 나오는데 라이브 방송에서 거의 20초? 마다 버퍼링 걸리네요 동영상 클립 볼 때는 또 괜찮은듯..? 예전에는 이런 적이 한번도 없었는데 요즘 너무 심해져서 글 올립니당. 초고화질, 고화질 모든 방송 같은 증상 있습니다. 실험해보니까 LTE환경에서는 아무 문제 없는데 데이터 다 쓸 수는 없습니다.. 와이파이망 사용할 때 버퍼링 걸리는거 하루 빨리 고쳐주세요..",1.0,12,2019-5-16
왜 본인확인이 아이핀밖에 없나요? 예전에 아이핀 아이디 만들어서 잘쓰고있었는데 어느날갑짜기 없는아이디라고 설레발치는데 아프리카tv앱 본인확인하려고 또 그 아이핀 거지같은 아이디 찾기하고 인증하고 가입하고 쇼 해가면서 까지 아프리카를 볼 필요는 없는듯합니다. 인증수단좀 여러개좀하세요.,1.0,5,2019-1-24
채팅 영역 다시 해제해주셈 채팅칠라할때마다 화면이 가리고 많이 불편합니다 그리고 오류나 고치세요 왜 업데이트할때마다 불편한것들만하시는거에요 이번 업데이트는 더더욱 최악이네요 채팅은 편하게 치라고있는건데 이번건 좀 아닌것같습니다 다시 되돌려주세요 채팅 칠라는거에요 말라는거에요 아프리카 오랫동안 봐왔는데 이건아닌것같습니다 이해할수가없네요 진짜 스트레스 쌓입니다 빨리 되돌려주세요,1.0,1,2019-1-31
도랐나. 무슨 10초마다 버퍼 계속 걸리냐. 팝업은 괜찮은데? 내 폰이 이상한줄 알았더니 모바일 대부분이 그런가보네? 일주일 다되가는데 고치지도 않고 최악이다. 담당자 짤라버려라.,1.0,49,2018-10-15
라디오모드로 취침모드 하고 다음에 들어갈 때 그냥 라디오모드로 됩니다 라디오모드 풀면 방송화면이 검게 안나오고요 이 오류 해결좀.. 이럴때마다 지웠다 깔기 데이터도 아깝고 시간도 아깝습니다...,1.0,0,2019-2-13
"앱기능 수정만하면 뭐함, 시스템 오류는 반복되고 문의하러 본사연락하려하면 연락되기는 하늘의 별따기에 힘들게연락닿으면 무성의불친절한 답변뿐인 운영인데, 본방은 유료아이템있어야 입장가능하게 만들어놓고 본방에 못가 중계방에 있는 유저간 소통하는데 느닷없는 강퇴? 욕설비하도 아닌 방송내용에 상관없어 강퇴했다는 메크로답변 참나 중계방에서 비제이와 소통이 안돼서 유저간 대화하는걸 제제하는 자칭 국내 원탑 실시간소통방송플레폼 아프리카의 북한식 운영 대단들합니다. 당신들의 그러한 근본없는 운영이 있는한 아무리 업데이트한들 유저들에게 외면당할겁니다...",1.0,203,2019-6-4
"19세 본인 인증이 왜 이렇게 안되나요. 점검 좀 해주세요. 그리구 본인인증 시스템 구축하고 한번 시험사용은 하는것인가요? 답변문항 입력하는데 디테일이 너무 떨어지네요. 한번 확인 하면 이렇지는 않을것 같은데, ex보안인증문자 검색시 한글자판 그대로 있는점, 본인인증번호 입력 한글자판 그대로 있는점 거   멘",1.0,16,2019-6-7
"엡데이트후에 모든 방송에서 다 화면끊기면서 렉걸려요,,, 테블릿으로 많이 보는편인데 화면 끊김이 너무 심해서 보지못하겠습니다. 무슨 업데이트를 하신지는 모르겠지만 빠르게 수정부탁드립니다.",1.0,14,2019-6-18
방송시청중 즐겨찾기목록 예전버전에는 방송시청중 즐겨찾기목록 보기가 가능했는데 이번버전에서는 제가 못찾는건지 안보이더라구요 혹시 있으면 알려주시고 없으면 기능추가 부탁드릴게요 너무 불편해용,4.0,2,2019-7-27
영상도 잘나오고 채팅도 잘쳐지는데 이모티콘 버튼이 안눌러집니다 (정확히는 이모티콘버튼 터치하면 터치음은 들리는데 이모티콘목록이 열리거나 하질않고 걍 아무일도 안일어남) 갤럭시탭s10.5,1.0,1,2019-9-18
"팬가입취소하기 기능도 만들어주세요.^^ 첨에 시청하러 들어가면 별풍유도와함께 팬가입유도 하는데.. 계속볼껀지 말껀지 결정하기도 전에 팬가입권유받고, 팬가입후 태도 돌변하는 BJ들 너무 많아요.. 삭제하고 안보면 그만이겠지만.. 팬으로 기록남아있는거 조차 싫으네요..팬클럽탈퇴기능 만들어주세요..",4.0,53,2019-11-6
업데이트 안하고 잘보고있는데 꼭 억지로 업뎃시켜서 정작 업뎃해보면 더 문제가 많아짐... 진짜 빡침 그냥 다운그레이드 하고싶다,1.0,1,2020-1-16
업데이트할때마다 더 불편해지네요 UP하였습니다 회색으로 뜨는데 그때 채팅창가려서 채팅도 못치고 쪽지함도 무한로딩뜨면서 안봐지고,1.0,0,2020-2-2
업데이트 작작해라 안해도 보는데 지장 없다,1.0,3,2020-2-28
와이파이는 풀인데 버퍼링은 30초 간격으로 걸리네요. 기기 문제거나 일시적 지연 현상인가 했는데 몇 달 내내 저 뿐만 아니라 주변인들도 마찬가지. 심지어 넷상에서도 언급되는 걸 보니 아프리카 자체가 문제로 보입니다.,1.0,258,2019-5-23
아니 로그인하는데 계속 잘못된 정보라고 뜨네요;; 어플이 아닌 그냥 인터넷 사이트에서는 로그인이 되는데 앱에서는 로그인이 되지않네요 행여나 잘못 쳤을까봐 복사 붙여넣기로 했는데도 안되는걸 보니 어플문제인거 같습니다.해결 점,1.0,8,2019-2-18
휴대폰인증 다해서 다음버튼을 눌렀는데 다음으로 안가지고 휴대폰인증이 안됐다는군요 분명 정확하고 휴대폰인증이 정확하게 됐다고 떴는데 왜이러죠? 정말 불쾌하고 짜증나는 군요 시간만 낭비한것같습니다. 왜이러는지 아르켜주세요,2.0,70,2019-4-28
안녕하세요 아프리카를 1년정도 이용하고있는 사람입니다 예전엔 안그랫는데 라디오모드 해놓고 전원버튼 누르면 조금있다가 꺼지더라구여 그리고 다시 전원버튼누르면 방송들어가지고 잠자면서 들었었는데 오류인거같은대 고쳐주세요,1.0,1,2019-1-7
"이번 업데이트후에 알람안와요 공지대로 푸시알람,즐겨찾기등등 다해봤고 재로그인까지 다해봐도 안되고 앱지우고 다시깔아도 안됨 뒤늦게 방송들어가보면 나처럼 알람 못받은사람 엄청 많던데 수정좀 해줘요",1.0,0,2019-6-14
"6.17일 리뉴얼로 추가된 핸드제스쳐 확대,잠금,채팅창 투명도 너무 맘에듭니다.5점드려요. 더 건의하자면, 아프리카 플레이어 내의 어두운 배경 정말 좋고 많이 잘 사용하고있습니다. 다만 아프리카 로비나 vod(동영상)에도 적용가능한 어두운 배경도 나왔으면 좋겠습니다.",5.0,319,2019-6-19
방송 들어가면 계속 팅기고 채팅 좀 치려고 하면 팅기고 제발 고쳐주세요 저한테 왜 그러세요 제발 삭제 했다가 다시 다운 받았는데도 안 고쳐지네요...이럴꺼면 왜 업뎃 하셨나요?? 궁금해요 업뎃해서 좋은걸로 바뀐거 좋은데 이런거 하나 오류 생기면 좀 아니잖아요...빨리 고쳐주세요,1.0,0,2019-6-23
업데이트 하는건 좋은데 오류같은게 너무많이있네요 보고있다가 방송에서도 나가지고 가만히보고있는데 화면이 닫혀버리고.. 이러면 그냥 안하는게 나을수도 있겠네요...,1.0,1,2019-6-22
모바일로 볼때 남이쏜 별풍이미지 안뜨게 하는 방법 없어요? 자세한 설명 감사합니다. 문의 드리고 답변전에 설정에서 찾아보니 있어서 해결했습니다.그리고 빠른 답변에 감사드립니다 .앱 만족도 5개로 바꿉니다 ,5.0,7,2019-7-16
이달 초? 업데이트 이후부터 프레임이 많이 올라가는 게임(lol/배그/리니지m)방송같은 경우는 모바일러 시청을 못하겠네요 버퍼가 생기는 것도 아니도 그냥 화면이 뚝 뚝 뚝 멈춤현상이 심각함....,1.0,3,2019-7-26
하나 건의드리자면 모바일 채팅창 투명도 설정 만들어주신건 좋은데 자기가 설정해놓은 채팅창 투명도가 계속 유지되었으면 좋겠어요. 매방송마다 변경하려니 약간 불편하네요.,5.0,0,2019-7-26
"진짜 답이 없다...별점 1점도 주기 아까운 수준이다.. 방송보다가 즐겨찾기 좀 하려고 별 눌렀는데 로그인하래서 회원가입 다 하고 로그인 했는데 ""등록되지 않은 아이디 뭐라뭐라""이래서 회원가입할때 비밀번호를 잘못눌렀나 싶어서 비밀번호 찾기 가서 비밀번호 바꾸고 다시 로그인 했는데 안되서혹시 회원가입이 안된건가 하고 회원가입 다시할려고 보니까 ""사용중인 아이디입니다"" 참나 어이가 없어서 리뷰 남기네요..제 비밀번호는 대체 누가 설정하는거죠? 분명 제가 설정한 비밀번호는 어디가고 제아이디를 대체 누가 쓴다는 겁니까 진짜 어이가없네;; ...",1.0,19,2019-8-19
서버관리를 똑바로좀 하세요 다른건 다 잘되는데 이것만 안되는것도 와이파이 문제냐? 트위치를 좀 보고 배우던가 서버관리 드럽게 못하네 몇번을 버퍼링 걸리는건지 이딴식으로 할꺼면 제발 서버 용량좀 늘리시던가 하세요;,1.0,0,2019-1-25
갤럭시 s10e 사용자입니다 팝업모드로 방송리스트 못보나요? 아이폰 썼을 때는 화면 아래로 드래그하면 볼 수 있었는데 이건 안되네요 팝업모드 버튼은 시청은 되는데 앱 환경에서 나가지네요. 어플 문제인지 폰문제인지 모르겠네요,3.0,1,2019-4-25
아니 업뎃하고나서 라디오모드 왜자꾸 팅기는거야 개빡치게 전 버전 돌려내 짜증나죽겠네 라디오모드 해놓고 다른거 못하게할거면 왜 라디오모드인거야 어2가없네 다시보기 보다가도 멈춰놓고 딴짓하다 다시키면 또 초기화되있고 어휴,1.0,0,2019-6-14
저는 시스템 다 떠나서 서버관리가 좀 하자라고 생각해요 인터넷은 문제없이 돌아가는데 모바일 아프리카 접속지연 서버튕김 사람이 몇만이라지만 예전부터 지속되어온 서버문제는 나아질기미가 보이질 않는거같아요 어렷을적부터 함께해온 아프리카기에 마음이 더 아프네요,1.0,2,2019-6-30
아니 업데이트더불편해짐 최소화해서 카톡이나 다른거하면서 자주봤는데 최소화하는순간 버퍼링걸려서 안봐지고 화면크기조절기능이좋았는데 그것도없고 전체적인느낌은 부드러워졌는데 빛좋은개살구 기능은퇴보하는듯,1.0,0,2019-6-24
아니 이거 업데이트하고 방송 왤케 튕겨요? 모든방송이 다 튕기네 거의 20초간격으로 계속 화면 꺼졌다 켜졌다하는데 제발좀...업데이트하기전으로 돌려줘요 못보겠어요 ,1.0,0,2019-6-24
모바일 다시보기 몇가지 오류가 있습니다 정지했다가 풀면 몇분전으로 되감아질때도있고요 정지해놓고 홈버튼눌렀다가 다시 들어오면 전체화면버튼이 안눌러집니다 조속히 수정 부탁드립니다,2.0,0,2019-7-16
방송보면서 즐겨찾기 목록 사라진점 너무 불편합니다 전체화면으로 볼 때 채팅창 기본사이즈 작은 사이즈 없애는거중에 작은 사이즈가 없어서 불편합니다 오늘 업데이트 이후 전체화면 후 화면회전이 안 돼서 불편합니다,1.0,7,2019-7-26
(갤럭시s8플러스) 제가아프리카tv 모바일로 그냥 보면 화질의 상관 없이 잘나오는데 팝업창으로만 보면 5초 정도 후 팝업창이 멈춰 버립니다 이거 어떻게 해결 해야 하나요?? 방법좀 알려주세요!! 부탁드려요,5.0,1,2019-7-21
이번 패치하고나서 지우고 다시깔아도 깔아지지가 않네요.. 하나더있는 폰에는 잘만 깔아지는데..,1.0,0,2020-3-5
계속 서버접속에 실패했다고 들어가지도 못함,1.0,0,2020-6-21
폰으로사용하고 있습니다 랙도 조금 있고 버퍼링도 걸리내요 이유를 알고 싶네요,3.0,0,2020-6-27
지금 저만 방송이 안들어가지나요? 처음에는 제 폰 문제인줄 알았는데 어플은 잘실행되는데 방송만 볼려고하면 안되네요 빨리해결해주시기 바랍니다.,1.0,2,2019-1-10
운영진 뭐하냐  모바일 앱 접속 안된다고,1.0,7,2020-5-24
"업데이트 용량이 47.95인데 업데이트를 할라면 103MB를 비우라니 이건 뭔 개소리고, 애초에 용량도 몇백이 비어있는데 뭘 더 비우라는건지;; 그리고 업데이트를 아무리해도 끊김현상은 전혀 개선 안되고 용량만 자꾸 늘리는데. 이렇게 쓸모없는 업데이트 할꺼면 걍 하지말고 둬요;;",1.0,0,2019-2-5
불철주야 고생이 많으십니다 질문박습니다. 1. 아이폰버전처럼 라디오모드하고 채팅방 보이는기능은 없나요? 2.퀵뷰쓰는데 백그라운드에서 재생되게 못 하나요? 3.채팅창 채팅사이공간 최적화 시켜주세요,5.0,0,2019-6-9
VOD 업데이트 후 너무 불편합니다 시청하다가 멈추고 카톡이나 기타 웹서핑하고 다시 보려면 기존 시청하던 장면이랑 달라요. 최신폰에 와이파이 빵빵한 상태인데 화면 오른쪽 두번 터치했을때 10초 넘어가는것도 너무느리고요.,2.0,1,2019-6-4
이전에 말씀드렸는데 답변을 잘못 주셔서 다시남깁니다. 목록 안보이는 문제 새로고침 누르면 해결된다고 하셨는데 그래도 안되고 취소버튼을 누르면 해결되네요.,4.0,0,2019-6-18
수고많으십니다. 업데이트전까지 크롬케스트로 연결하여 보고있었는데 업데이트 후에 케스트 버튼이 어디갔는지 찾을수가 없네요..기능이 삭제된건가요?,4.0,1,2019-6-18
화면비율 왜 없앤거냐구요 크게 볼수있어서 좋아했는데 이젠 타어플이랑 똑같이됬네 휴 빨리 추가해주세요 비율설정하는거 업데이트하고 계속 튕기고 이딴식으로 업데이트해서 또 정떨어지게 하려고하네 앱 삭제하기전에 화면비율설정 다시 돌려놓으세요 진짜로,1.0,2,2019-6-18
업데이트 하고나서 화면비율 왜 고정으로 바꼈나요? 크게 화면보고싶은데 4:3 다시 만들어주세요 어떻게 매번 업데이트 마다 개선 한답시고 기존에 좋았던것들까지 마음대로 바꿔서 불편하게 만드나요 개선좀 해주세요 화면비율 진짜 불편합니다,1.0,1,2019-6-18
방송을 보다가 즐겨찾기해놓은 방송들을 보는 기능이 사라졌는데 다시 만들어주세요. 제가 못 찾는건가요??? 이 기능이 없으니까 아프리카티비가 너무 불편하네요.,1.0,2,2019-6-20
다른분들이 업데이트하고 겪고 있는거 저도 고스란히 겪고 있어서 열받아서 결국 지웁니다..아니 도데체 적당히 튕겨야지 이전버전 때에는 아무 이상 없이 썻는데 이전버전 다운 못받게 막아 놓을거면 다시는 안 쓰고 싶네여 채팅창 크기 부터 영상 크기 조절 못하는거 부터 영상 안나오는 문제까지 그리고 튕기는 문제가 제일 커서 더이상 못 쓰겠어여 다른 사람들 의견 무시하고 이딴식으로 운영할거면 일하지 마여 누군 일 안해봤나 어이가 없어서,1.0,0,2019-7-4
"다운이 안되는건지? 시간이 많이 걸리는지? 시간이 많이 걸린다면, 다운로드 시간 표시 부탁드립니다... 별풍투척 안되네요... 업데이트 불가능=>0점 주고 싶은데... 별 하나 의무인가 보네요?",1.0,0,2019-7-31
업데이트 하고나서 화면 비율 설정에 전체보기가 사라져서 너무 불편해요. 업데이트 전에는 안잘리고 꽉 차게 볼 수 있었는데 지금은 확대 축소는 되지만 확대하면 화면이 짤려서 너무 불편합니다.,3.0,5,2019-7-26
전체화면 모드에서 채팅창 켜면 예전에는 두줄만 뜨지 않았었나요? 요새 네줄 뜨던데 화면을 너무 가리는거 같아요 특히 롤이나 스타볼때 채팅창 아이디가 미니맵을 완전 가려서 아쉽네요 채팅창 몇줄나오게 할지도 옵션에서 정할수 있었으면 좋겠어요,5.0,0,2019-7-27
5g무제한이라서 데이터로 다시보기보는데도 영상이 중간에 한번씩 주기적으로 멈추는 이유가 뭐죠 진짜 짜증나서 돌아버리겠네요 업데이트 할때마다 문제가 하나씩 생기니까 이러니까 아프리카 모바일 운영팀이 욕쳐먹는겁니다; 그리고 누구 머리에서 나왔는지모르겠지만 기울이는 방향으로 화면 회전되는 기능 없앤건 진짜 멍청하다고 할수밖에 없네요 잘못기울이면 일일이 터치해서 다시 기울야되는거 진짜 불편합니다 제발 욕좀 그만하게 제대로 수정하세요 진짜;;,1.0,10,2019-8-31
이거 어플개발자 일 제대로 하는거 맞나요? 어제는 괜찮았는데 오늘 업데이트하고나니까 방송 보고있는데 갑자기오류뜨면서 방송꺼지고 다시들어가도 또 방송보다가 꺼지고. 제대로좀 업뎃하세요 할거면. 아님 업뎃을하지말고 냅두시던가,1.0,24,2019-10-23
로그인없이 채팅을 할수있으면 좋겠어요 윽박님.대익님.유이뿅님.동네형박성주님 등등 같이 소통하고싶어요 로그인없이 채팅할수있게 해주세요,1.0,1,2020-2-29
제가 라디오모드를 자주사용하는데.. 라디오모드를 하지않으려고해도 자기혼자 라디오모드로 변환되고 라디오모드를 클릭하면 검정색 화면으로만 되고 원래 화면이 나오질않네요,4.0,0,2019-5-16
라디오 모드에서 시청모드로 전환시 화면이 안나옴  그리고 다시보기 라디오모드에서는 5분정도 지나면 앱 종료되버림  고개센타 문의해도 알겠다고만 하고 고치질 않네 ,3.0,0,2019-6-9
"인터페이스 바뀌기전 업데이터 전에는 크롬캐스트로 영상시청시 채팅창 기본, 미니창 안보기 다조절 되었는데 이번 업데이트 이후에는 기본창만 고정으로 나오고 채팅창 줄이기 및 안보기 조절이 안됩니다. 수정부탁드립니다.",2.0,1,2019-8-21
아니 쓸데없이 모바일을 이상하게 바꿔서 화면비율 조정이 없어졌네 4:3비율로만 보던 사람인데 이따구로 화면 작으면 어떻게 보라는거임? 업데이트가 아니고 다운그레이드를 하고있네,1.0,0,2019-6-19
잘쓰고있었는데 인터페이스 바꾸면서 생방송 볼 때 화면이 자꾸 꺼집니다(휴대폰 오래켜놓으면 자동으로 화면 꺼지는 것) 영상볼때는 화면안꺼지게 해주세요,3.0,1,2019-6-19
인터페이스 업데이트 후 홈버튼 누르면 바로 안나가지고 라디오모드 처럼 화면 꺼진상태에서 소리나옴.방송보다 전화받을때도 방송소리나옴;; 폰기종은 갤노트5임,1.0,1,2019-6-21
다시보기 시스템 너무 엉망 창 모드 사용하고 들어가면 시간 엉망으로 흐르고 시간 설정을 슬라이드로 하게 해줬으면 어느정도 정확성이 있어야하는데 시간이 한번에 휙휙 넘어가니까 시간설정도 제대로 못함,1.0,0,2019-7-9
신태일 방송보고왔는데요 솔직히 정지 안풀어주셔도 답변은 정확하게 해야하는거 아닌가요? 신태일님 말고도 2분더 풀어달라고 요청하셨는데 똑같은 시간에 똑같은 답변이 왔다는걸보면 그냥 재대로 검토도 안하시고 복붙해서 답변한거로밖에 안보이네요 실망입니다 그리고 규정좀 재대로 해주세요 정지도 자기맘대로 주시고 너무하네요 정떨어져서 아프리카 삭제합니다,1.0,0,2019-7-5
많은 사람들이 다시보기 끊기는문제 제기하는걸로 보이는데요. 저도 그렇구요. 다시보기 특정영상문제가 아니라 모든 영상 다시보기할때마다 몇번씩 팅겨요.,2.0,7,2019-9-5
"다시보기 하면 계속 팅기고 꺼지는 현상 있다고 리뷰 많이 달리는데 뭔 자꾸 특정 VOD에서만 그러는지 알려달라는거죠?? 빨리 확인해서 업데이트 하는게 맞는거 아닌가... 다시보기때문에 개빡쳐서 들어왔는데, 기계적인 답변보고 더 화가 납니다",1.0,11,2019-9-6
방송누르고 몇초지나면 무한버퍼 해결안되고 방송은잘나와도 채팅안나오고 방송채팅 잘되면 방송이 음성이랑 영상이 몇초단위로 꾸준히 뚝뚝 끊기고 지금 폰문제인주알고 폰도 바꺼 사용해보고 삭제도 해보고 다해봤는데 아무리봐도 아프리카 어플 수정좀,1.0,0,2019-10-6
새로나온 이모티콘집모양 있다가 사라졌는데 머죠?구매하려고해도 보이질 않네여 아예 첨부터 집모양 이모티콘없는사람도 있던데 설명좀요,2.0,2,2020-1-8
설정들어가면 어플 계속 튕겨요. s20+입니다.,1.0,0,2020-2-27
"업데이트를 할때마다 없어진것이나 그런건 쿠키같은게 없어져야되는데 그대로 업데이트만되네요? 항상 제거후 재설치가 요구되는것 같아서 불편합니다,",1.0,0,2020-3-2
아프리카 방송은 다좋은데 와이파이 잘 터지는곳에서도 자꾸 끊기네요 ,4.0,0,2020-4-9
"지금 접속자체가 안되는거 아십니까?전원 껐다켰다 다시하고 어플도 다시 깔아도 실행이 안됨.별하나능커녕 마이너스5개 주고싶네요.핸드폰,태브릿 다 그렇습니다",1.0,54,2019-1-9
업데이트 도대체 왜한거임? 라디오 모드로 폰끄고 듣거나 딴짓하면서 듣는게 좋아서 트위치보다 좋아했는데 트위치랑 똑같아졌음;; 트위치가 그렇게 좋아보이디? 그리고 이어보기를 하려는데 외부플레이어를 이용해서 재생하라는건 뭐야 외부플레이어로 변경했더니 개불편하던데; 그냥 뭐 좀 건드리지 마;;,1.0,0,2019-5-25
업데이트 후 방송 시청중에 즐겨찾기 버튼이 사라졌는데요 이젠 방송시청중엔 다른방송 리스트는 못보는건가요? 일일이 방송 퇴장후에 다른방에 들어가야하는건지?,1.0,0,2019-6-17
"아니..업뎃을 했는데, 라이브방송중인 방 들어가면 방송이 종료되었다고 뜨고, 열혈순위 변동 잇는데도 안바뀌고 삭제하고 새로설치해도 안바뀌내요 계속 튕기고, 어케 보란 말입니까",1.0,0,2019-6-20
개인적인생각으로 좋은점도 잇지만...전 차라리 업뎃하기전이 좋네요.업뎃하고 기존 모바일에서 바로 구독닉네임이랑 평소닉네임 바꿀수 잇엇는데..왜 업뎃하면서 구독닉네임 변경할수 잇는게 안보이고..즐찾해놓으면 방송보면서 밑에 터치만하면 누가 방송켯는지..볼수 잇는기능도 없어졋네요..빠른개선바랍니다..불편하네요,2.0,1,2019-6-21
여전히 팅기고잇네요. g4 v30사용중인데 너무많이팅기네요. 업뎃전에는 팅기는것도 없었는데.. 너무 피시랑같게만들어서. 그런가요.모바일에 너무많이팅깁니다 .,2.0,0,2019-7-11
항상잘보다가 밤10시정도되면 버퍼가 왜이렇게걸릴까요?? 껐다켜보고 별짓을다해도 이시간때면항상 끊기네요 폰은s10인데 폰문제도아니고 화질을 저사양해도끊기고 짜증이너무나네요 개선좀부탁드릴게요,3.0,2,2019-9-20
오류가 두 가지 있는데요 첫 번째는 광고 후 검은 화면만 나옵니다 소리도 안들리고요 채팅은 계속 올라오는 걸 봐선 인터넷 문제는 아닌 것 같습니다 두 번째는 오류로 인해 앱이 도중에 닫힙니다 첫 번째 오류는 일주일이 안된 거 같고요 두 번째 오류는 채감상 꽤 오래됐습니다 빠른 해결 부탁드려요,1.0,210,2019-10-25
