내용,평점,공감수,작성일
게임 재밌게 플레이 하고 있는 유저입니다. 부탁이 한 가지 있어 리뷰남깁니다. 혹시 일그오에서 개편된 서번트들의 모션을 미리 가져올수는 없을까요? 다른 거라면 멀라도 모션은 미리 가져온다고 해서 스토리에 지장이 있는 것도 아니니 미리 가져와도 상관이 없겠다고 생각해서요. 실제로도 몇몇 서번트들의 모션을 미리 가져온 경우도 있었지 않습니까? 부디 부탁드립니다.,4.0,5,2019-8-5
나스와 타케우치만 보고 빨기엔 게임 극초반이 너무 재미가 없다.... 그것만 버티면 그 이후는 괜찮다고 해도 그걸 견디고 하기가 싫다..,1.0,0,2020-2-27
"게임 잘 즐기고 있었는데 폰 바꾸고 나서 접속이 안되네요. 갤럭시 s9 이고, 앱삭제후 다시 깔아봐도 마찬가지 입니다. 설정정보를 가져올 수 없습니다. 라는 말만 계속 뜨네요. 어디다 문의하려고 해도 고객센터 주소조차 알 수 없어서 여기에 남깁니다.",3.0,66,2018-11-16
결제를 했는데 결제오류라고 떠서 계속결제를 해봤는데 안되더라구요 그래서 15분뒤에보니까 결제 문자가 한번에 밀려서 나오는거예요  저는 한번만 할려고 했는데 원하지않게 결제가 되었어요.....그런데 보통 결제문자가 오면 상정석이 있어야되는데 있지도 안더라구요 환불하고싶은데.....좀 해결해주세요 환불받고 싶어요........,1.0,1,2019-2-1
이것은 게임인가 !파칭코인가 !시작하기전 정말로 내가 달빠가 될거라고는 생각지 못했다.500넘어 소과금러가(소중한걸 팔아서 하는과금)될지도 몰랐다 이게임을 시작하는자 조심하도록 ! 5성캐릭 욕심내는 순간 지갑은 공중 분해된다. 나보고 페그오 가르쳐 사람도 처음에 하지말라고 3번 말렸다. 그러나 하고있는게 현실 자기는하면서 왠지 하지 말라니까 더하고 싶었다.. 그러니 쓸데없는 이글보는자여 페그오 하지마 ! 분명히 경고했다 캐릭매력에 빠져서 가챠를 참을자신 없으면 하지마!!!!!,5.0,5,2019-4-6
제가 이런 부류를 좋아하긴해도 비주얼 노벨을 안하는이유가 물론 명작도 많기만 글을 계속 읽어야하고 뭔가 결말에 다달았을때 선택지를 재외 뭔가 성취했다는 느낌이 부족했는데 비주얼노벨로써도 턴제 게임으로써도 부족한 느낌이 아예 들지 않는다. 이게임을 맞고있는 타입문의 사후지원과 각종 부류의 홍보나 즐길거리도 풍부해 지루하지가 않아. 그리고 마슈는 사랑입니다.,5.0,1,2019-6-11
서번트가 없다고요? 현질을 하세요! 돈이 없다고요? 저성 서번트를 키우세요! 게임이 어렵다고요? 현질을 하세요! 재료가 없다고요? 노가다를 뛰세요! 게임이 재미있다고요? 축하드립니다 당신은 넷마블의 개가 되었습니다,5.0,1,2018-9-29
1. 극한의 확률+예장과 서번트를 합쳐놓은 가챠 2. 성능 쓰레기 수준의 다수 서번트진과 애매하다고 할 수 밖에 없는 많은 서번트 3. 문의 및 신고 불가(매크로) 4. 극단적 난이도 5. 세프템의 부디카 같은 욕 밖에 나오지 않는 설정 6. 대표적 유사게임 이 게임에서 스토리가챠 하는건 미친 짓. 어차피 확챠하면 픽뚫로 스토리가챠 서번트 뜨니까 굳이 그런거에 돌 쓸 필요 없음. 수행사제라는 존재가 있긴 하지만 정신건강 상 안 하는 것을 추천.,1.0,22,2019-12-20
오늘 업뎃 이후로 접속하자마자 23초 내로 공지나 팝업도 없이 튕기는 현상이 일어나고 있습니다.,1.0,0,2020-2-2
다른 게임은 최고등급 아니면 쓰이지않는게 대부분 이지만 페그오는 1성도 쓸만하며 5성이 없더라도 3성이지만 미친 성능을 자랑하는 쿠훌린 이라던지 1성 빛 그 자체 아라쉬등 뽑기 운이 좋지 않더라도 충분히 해낼수 있는 그런 게임 입니다. 레어도가 낮은 애들이라도 충분히 클리어가 되니 한번씩 해보시길,5.0,9,2019-5-24
지상 최강의 빌어먹을 쓰래기 게임 입니다. 서번트 수집이 목적인 게임이 예장 수집이 되버리는 똥겜입니다. 그리고 확률이 너무 주작같은 느낌을 주고 이벤트를 하더라도 호부 35장? 거기다 무료 성장석을 모으는데 한 스테이지를 59번을 돌아야하고 얻는 성장석은 겨우 1개 정말 재미가 없고 지루하고 스피드있는 진행을 할려면 5성 서번트나 잘육성된 4성이 필요한데다 3성을 잘육성해도 점점 올라가는 적들의 피통과 답이없는 데미지 3성의 한계는 명확하며 45성을 어쩔수 없이 뽑아야하지만 가챠는 주작급 확률을 보여줍니다 예를들어 겨우 모은...,1.0,14,2019-4-3
게임은 재밌는데 뽑기확률이 개돼지임... 지금 4개월째인데... 서번트가 2마리밖에 없다.... 처음에 '세이버 릴리' 얻은애랑 마슈 2마리밖에 없어서 키우고 있는데.. 서번트좀 얻을려고 뽑기돌리면... 개망..... 뽑기운 안올려도돼니까 가끔식 내가 얻고싶은 서번트 골르는 선택권이나 5성확정티켓..? 이런 것좀 배부한다면 정말 그냥 갓겜이 될텐데....,2.0,5,2019-5-4
"pvp같은 시스템이 없어서 자기가 좋아하는 것만 키워도 된다는 점이 큰 장점. 프렌드 시스템이 잘 되어 있어서 덱이 안 좋아도 강한 친구있으면 스토리 미는데는 큰 어려움은 없을거라 생각됨 다만 서포터(공명,멀린)의 의존도가 상당히 높음 공명 정도는 리세마라라도 해서 뽑고 시작하는 것을 추천 (하지만 애정이기는 성능은 없음)",5.0,19,2019-8-3
"남들 다있는데 나만없는 캐릭터. 뽑으려고 작정한순간 지갑이 얇아져서 끊고싶지만, 그럼에도 언젠가는 나도 싶은 마음에, 가끔 돌아가는 금구슬에 두근두근 거리는 마음을 진정시키지 못하고 끊을 수 없는 고리에(함정에) 빠져버린 일개 마스터(검은소)",5.0,9,2019-10-22
이 리뷰를 보는 당신은 이 게임을 플레이하게 됩니다,5.0,0,2020-3-19
좋긴 다좋은데..저만 그런가요? 계속 팅기네요.. 로딩창때 팅기고 퀘스트 깰때도 팅기고.. 오늘 한30번은 팅긴거 갔습니다.. 하다못해 이제 로딩창에서 팅기고 안들어가집니다. 빨리 고쳐주십시용.감사합니다.,4.0,0,2018-9-17
처음엔 무슨 게임이 이렇게 단순한가 라는 생각이 들었는데요. 스토리때문에 계속하게 되는 것 같아요 앞으로도 재미있는 게임을 만들어 주셨으면 좋겠어요. 감사합니다^^,5.0,0,2019-1-1
"이번 업데이트로 게이밍 속도가 많이 빨라져서 좋아졌습니다. 아쉬운 점이 있다면 3/3, 2/2 같이 파이널 스테이지 들어가는 문구에서만 렉이 걸립니다. 수정부탁드립니다. 감사합니다.",4.0,4,2018-11-1
어플리케이션이 작동하지 안습니다 캐시데이터를 삭제하시겠습니까? 하면서 작동이 안됩니다 삭제하고 깔아도안됩니다,5.0,0,2020-3-10
불면증이 심했는데 요새 페그오 덕에 일찍 오래 잘 자요. 그래서 항상 자기전에 플레이 하다 잡니다. 덕분에 생활패턴이 좋아졌어요! 가챠확률 너무 낮아서 성정석 몇백개 쌩으로 날리는것만 빼면 스토리도 좋고 좋아요 불면증 있으신 분들 추천해요,4.0,6,2019-8-17
오랜만에 하려는데 구글 계정 연동이 안됩니다... 자꾸 계정연동에 실패했다 뜨네요 어떻게 해야 하나요,1.0,4,2020-1-2
"제가 페이트 그랜드 오더를 플레이 한지 얼마되지 않아서 그런데, 친선전이 가능한지요? 만약 불가능하다면 친선전 기능이 추가되면 좋겠습니다 만약 그러면 친구끼리 대결해서 친목을 다질수 있고 더 즐길거리가 많아질 것이기 때문입니다.",5.0,0,2019-2-20
"제가 페그오를 열심히 하다가 13달 않되게 접었다가 다시 구글 계정으로 들어가니 갑자기 다른 계정으로 들어가지면서 있었던 계정이 없어졌요. 이 일이 있었던것이 1년정도 된 것 같아요. 계정 복구가 가능할까요? 제가 그 계정에 스카사하, 네로(신부복), 알트리아 펜드레곤(4성 렌서)등 많은 케릭들이 다 날라갔어요. 복구 꼭 해주시면 감사할겠습니다. 계정 복구 부탁 드립니다.",1.0,0,2019-5-31
"재미는 있는데..., 뽑기 확률이 극악이네요. 픽업 연속 3번 뽑았는데 4성 서번트조차도 안뜹니다. 넷마블이 확률건드린거다 란 말이 있는데, 일단 믿고있습니다만, 진짜 이 확률은 건드렸다 외엔 설명이 안되네요...",4.0,2,2019-7-14
총 접속을 120일을 바라보고 있는 유저입니다. 처음에는 캐릭터와 단순한 게임 진행으로 인하여 게임에 재미를 찾을 수 없었으나 챕터를 연달아 진행을 하면서 방대한 시나리오와 간간히 매 주마다 진행되는 이벤트에 대해서 흥미를 느낄 수 있었습니다. 현재 모바일 게임에서 지속적으로 오랫동안 한 게임에서 유일한 게임인데 최근 업데이트에서 UI가 변경되면서 조금 더 편의성을 얻을 수 있었습니다.,5.0,5,2019-8-3
몰입감 있는 훌륭한(가끔 아닐때도 있음) 스토리 봐줄만한(아닌놈들도 있음) 애니메이션과 일러 매력적인 캐릭터의 캐릭터성과 조합을 통한 전술적 재미 그리고 모든 장점을 압살하는 뭣같은 가챠시스템. 탈출은 지능순이나 난 사람되긴 틀렸다.,3.0,4,2019-9-13
"다른 데는 다 되는 와이파이가 이 게임에서만 접속 불량입니다. 인터넷, 다른 게임들, 심지어 일그오도 되는데 한그오는 인증정보 못 불러온다고 하면서 처음 다운로드조차 안됩니다. 아직까지 대체 이유를 못 찾아서 3점 드립니다",3.0,0,2019-1-30
달빠들 덕심 자극해서 돈빼먹는 게일임 뿐. 사실 IP빠지면 전투도 그닥에 가챠도 제대로 된 천장 없는 유사게임. 돈이 너무 썩어나서 어디에라도 좀 써야겠다는 사람이나 진성 달빠 아니면 할만한 게임이 아니다.,2.0,1,2019-6-17
"내가 이 별점은 주는것이 흔하지는 않다. 일단 이시국...생략하겠다. 먼저 이게임은 넷마블거다. 그렇다 확률조작이다. 뜨라는 5성은 안터지고 개념예장만 나온다. 이미 한정캐 2명이 있어서 그런걸 수도 있다고 생각했지만 역시 확률조작을 했다. 두번째, 보구를 쓸때 스킬이 화려한것은 좋지만 렉이 걸린다. PC로 돌려야 할판이다. 세번째, 과금요소가 많다. 누가 봐도 성정석이 없으면 게임에 큰 지장이 있다. 시작할때 주는 세이버 릴리로는 부족하다. 네번째, 스토리마다 선택지가 있는데 무엇을 택하든 엔딩에 아무런 영향을 안끼친다.차라리 선...",1.0,0,2019-9-28
오랜만에 복귀해보려고하는데 본래의 계정이 나오지를 않네요. 무과금이면 그냥 첨부터 할텐데. 과금도 했던 계정이라 다사 찾고싶어요. 계정연동 해봐도 예전 프로필 선택같은것도 안나오고 답답합니다. 해결해주세요,1.0,0,2019-9-30
무슨 확정가챠 할려고 5만원 충전하니까 결제가 안된다고하네? 구글에는 5만 7백원이 있고 페그오 앱에서는 7백원 만 있다고하는데 무슨일입니까? 확정가챠좀 하자 제발...,1.0,25,2020-1-1
구글계정으로 연동 하려하는데 채널연동에 실패했다는 문구가 뜨면서 계정연동이 안 되네요,1.0,1,2020-2-11
과금이 진짜 너무 많이 돈드는 것 외엔 페이트 팬들이 좋아할 게임,5.0,0,2020-4-29
페이트ip로 버티는거지 많이 부족한게임. 오덕겜치고 인게임그래픽부터 구지고 흔한 2D라이브도 없고 영웅조합하는 재미가 있지만 같은겜에 오락실 버젼인 페그오 아케이드는 정말 많이 진화된 게임인데 이건 왜 90년대 게임 같은지 알수가 없다. 붕괴나 7일등만 봐도 페그오 아케이드도 폰겜으로 얼마든지 낼수도 있고 아케이드 2D라이브만 적용해도 좋아하는 서번트 수집욕구도 더 늘거 같은데 정말 한걀같이 발전이 없는겜,2.0,6,2019-2-3
처음엔 현숙누나도 열성적이던거 같은데 요즘 대사 오류에 미적용에 열정 다빠진것 같음....마슈 종장클 대사부터 빨리좀 넣어봐요...,5.0,0,2020-1-22
근 1년간 게임을 즐기고 있는 유저입니다. 최근 인왕 게티아를 죽이고 계위를 얻었습니다 하지만 보스전을 다시 해보고 싶었습니다 하지만 그런 기능이 없더군요 (시나리오를 다시 볼수는 있지만 다시 플레이를 못함.) 그 기능과 어택 버튼을 누르면(카드 선택창) 그 턴에는 스킬을 사용 할 수 없습니다.(일본 페그오는 뒤로가기 기능이 있음) 두 기능을 꼭 구현해 주셨으면 합니다,5.0,0,2019-2-21
오랜만에 들어와서 현질을 했는데요. 글쎄 잘하다가 구글연동이 되면서 플레이중이던 세이브가 사라지고 새로운 겜이 시작되어버렸어요. 현질까지했는데 이전의세이브파일 복구가 가능할까요?,5.0,0,2019-1-9
1년 성정석도 못받았고 누구는 교환권을 말하고 있는 것같은데 교환권은 무슨 화면이 켜지질 않아서 보상이 들어오긴 했는지도 모르겠습니다 화면 터치하면 소리만 바뀌는 거 봐선 접속이 안된 것도 아닌데 짜증나네요,5.0,3,2018-11-10
진짜 정말!!! 재미있는 게임입니다! 오늘 갓챠에서 5성이 두개나 나왔어요!! 네로랑 프렌시스요... 어쨋든 게임방식에서 스토리까지 전부 마음에 드는 재미있는 게임입니다! 앞으로도 좋은 모습 기대할게요!,5.0,2,2018-9-24
전투할때 서포트를 고르잖아요.... 근데 게임에서 모든 친구의 서번트가 나오지 않는건 이해하는데 서포트 편성을 다시 눌렀을때 같은 서번트가 계속 나오는건 아니지 않나요??;;;; 제가 그거때문에 전투하기전에 서포트 편성만 여러번을 눌러야해서 시간이 낭비되요 어떻게 안될까요?,3.0,1,2019-7-5
"완벽한 게임이다. 다른 게임처럼 업데이트를 늦춰서 하지 않고 주기적인 업데이트를 통해 질리지 않게 한다. 한 가지 불만이 있다면 5성이나 4성 서번트가 나올 확률이 매우 적다는 것이지만, 4성은 주기적으로 선택권을 주고 이벤트 때에도 4성 서번트를 배포한다. 5성은 획득하기가 매우 힘들지만, 최근 업데이트를 통해 기존 유저는 물론 신규 유저도 5성 서번트를 획득할 수 있게 성정석과 호부를 많이 배포하게 되었다.",5.0,293,2019-2-23
"그래픽은 저조하나 5장부터의 스토리,사운드가 몰입도가 엄청남",5.0,0,2020-1-22
저기요 어제까지는 분명 로그인 잘되다가 갑자기 로그인 안되는데 이게 뭐형상 이죠? 게다가 다시 설치를 했는데도 불과하고 계속 인증에 실패했다는 말만뜨고 이게 뭐하는 짓입니까? 빨리 고쳐주십시오,1.0,5,2019-5-19
운영자님 제가 연동해 사용하였고 심지어는 인앱 결제까지 자주하던 계정인데 오랜만에 접속했더니 전혀 다른 계정으로 연동되어 그간 해온 정보들을 찾을 수 없습니다. 연동을 안해둔 것도 아닌데 이런 경우 어떤 조취를 받을 수 있나요..?,1.0,68,2019-5-4
휴대폰을 새로 사면서 게임도 새로 다운 받게 되었는데 구글 연동이 계속 실패합니다. 권한 요청이 안되서 실패하는 것 같아 앱 권한에 들어가 보니 신청된 권한이 없다고 나와서 올립니다. 새로 지우고 다운을 받아도 권한 요청이 안떠서 그런지 신청된 권한 자체가 표기가 안되고 구글 연동도 안되서 애써 키웠던 계정에 들어갈 수가 없네요,1.0,36,2019-8-16
가챠야 뭐 자기 의지대로 하는거니까 폭사하던 좋은게 뜨던 상관은 없습니다. 어차피 저성으로도 충분히 다 깰 수 있으니까!,5.0,0,2020-1-30
바빌로니아 패치 되고나서 바로 픽업 가챠를 돌렸는데 무지갯빛이 뜨는걸 보고 좋아라하는 순간 게임이 틩겼습니다. 돌은 복구 됐지만 그래도 5성 서번트를 눈앞에서 놓쳐버렸다는게 가슴이 아프네요. 페그오 정말 좋아하고 애정하는 게임이지만 이런일이 계속 일어나게 된다면 문제가 될 것이라고 생각해요. 빨리 보상이나 개선을 해주셨으면 좋겠습니다,4.0,0,2018-12-6
"솔직히 되게 재밌음  무과금으로도 못 깨는 던전 없고, 꾸준히 하고 1년에 10만원정도 5성 확정가챠에만 투자하면 진짜 쾌적하게 플레이 가능 만약 시작하려면 스타트는 조금 빡세니 적당한 계정 구매해서 시작하는거 추천해요",5.0,2,2019-1-25
"안녕하세요 페이트운영자님들 제가전기기로 이게임을재미있게하고 길가메쉬도뽑고 하였는데 계정연동이안되 데이터가없어졌습니다 혹시 복구가가능하다면 부탁드립니다 제계정의 기본정보입니다 주요캐릭터: 길가메쉬5,네로4성,에미야시로4성두개 이름:낙낙이 부탁드립니다 감사합니다 그리고 구글연동을하면 채널연동에실패하였습니다 가뜹니다",5.0,2,2019-4-20
운영자님... 오늘 강화퀘는 진짜 달려야 해서 게임 접속하려고 하는데 자꾸 연동 정보를 불러올 수 없다고 접속이 안 되네요  칼데아에 토끼같은 서번트들이 있어요 좀 고쳐주세요...,4.0,0,2019-5-24
처음 시작했는데 재밌어요. 그런데 구글 계정 연동하려고 하는데 다른 연동된 계정이 이미 있다고 하네요. 휴대폰이 안좋았어서 그동안 할수 없었는데 제가 플레이한게 아닌 데이터가 있어서 지워주세요.,5.0,2,2019-8-4
페이트라는 IP에 힘입어 사는 게임 심지어 가챠확률도 처참한 나머지 수많은 창렬한 게임들 중에서도 둘째가라면 서러울 수준으로 창렬함이 유명한 게임이다 직접 플레이하면 창렬함을 몸소느낄 수 있을 것 자신이 하던 게임이 창렬하다고 느껴진다면 이 게임을 해보고 감사함을 느껴보는 방법도 추천함 물론 스토리는 덕후들을 자극하기에는 충분하다,1.0,1,2019-12-20
안녕하세요. 한그오 시작한지 1년된 유저입니다. 근데 얼마전 거래하려고 계정살려고 판매자분이 구글연동되어있던 계정을 잠시 미연동으로 해놓고 다시 연동시키려고 하니까 채널연동에 실패하였습니다. 라는창만뜬다네요;; 페북연동도 마찬가지랍니다. 어떻해야하나요?,5.0,0,2018-12-22
"재미없어요. 지겹워서 딴게임 하다보면 며칠 접속 안하게 되는 게임입니다. 가챠 확률 안 좋은것도 게임에 대한 비판요소 입니다. 별5개 평가 하는 분은 이런 부분에 있어 운좋았던 분이며, 대부분의 유저는 별점도 안줘요. 즐길 수 있는 요소...억지로 찾으면 있겠죠. 그렇게 자기최면 걸면서 할만한 게임은 아닙니다. 재미도 없고 지겨워서 별점1 드리고 삭제해요",1.0,142,2019-3-9
5성뽑는다고 헛돈만 많이 안쓰고 느긋이 하면 돈 안 넣어도 충분한 게임. 돈을 수백단위로 쑤셔넣지 않는 이상 크게 차이나지 않음. 차이 나도 경쟁겜이 아니라 알 바 아니고.,5.0,6,2019-12-19
성정석이 10회 소환 3회 분량이 있었는데 2회 쓰고나서 보니까 1회분량이 없었젔습니다. 어떻게 좀 않될까요?,5.0,3,2020-1-1
아  스토리 깰때는 재밌는데 다깨고나면  할거없네. 뭐 강한녀석들 나오는 던전도 없고 그냥 약한던전 노가다만 뛰어야하는데.. 캐릭터 키우는데에 의미가 있냐 이말이야. 무한의 탑 같은 것처럼 무한하게 올라갈수 있는 던전같은게 있으면 좋겠는데; 그렇게 되면 밸런스 문제라던가 그런것들이 강력해져서 일부로 회피하는건가 ? 그치만 돈벌기에는 그거만한게 없을거같은데 ,5.0,0,2019-2-28
"게임을 정말 재밌게 즐기고 있는 한 마스터 입니다, 얼마전 신주쿠 업데이트에서 마이룸에 사운드트랙 이란게 하나 생겼더라고요 다 좋긴 한데 이게 마이룸을 나가면 BGM이 끊겨요 전투중에서도 음악을 계속 들을수 있게 만들어 주시면 좋을것 같네요",5.0,4,2019-7-29
"솔직히 가챠에다가 애니 원작 게임들은 안 하는 편인데, fate 애들이 너무 예뻐서 합니다. 또,스토리가 그냥 엄청납니다. 모두 하세요. 빨리 다운받고 빨리 진행하세요.",5.0,0,2019-6-19
가지고 있던 서번트가 극히 일부를 제외하고 다 버그로 사라졌는데 다 제가 간거라니 어이가 없네요 그것도 이번이 3번 째에요 5성 서번트는 잠금 때문에 실수로 갈 수가 없습니다 해킹으로 신고도 해봤고요 정말 게임에 없던 정도 다 떨어져서 환멸이 나내요 유저를 호구로 보나본데 대응이 조금이라도 떨어지면 바로 접겠습니다,1.0,10,2019-8-14
게임 배경음악과 캐릭터 사운드가 들리지않아요 핸드폰볼륨을 최대로 해도 안들리고 게임옵션에서도 볼륨을 최대로 해놔도 똑같아요 확인부탁드려요,4.0,0,2019-5-23
운영 이따위로 할거면 다른 회사한테 넘겨요. 도대체 뭘 하면 매번 패치마다 오류가 생기는 거죠? 한국서버 오픈 초반에는 자체 이벤트도 했을때 넷마블이 잘 살릴려나보다 했는데 피폭밥 사건 터지고 7장 확률 조작 사건에 감옥탑 인연포인트 버그 등 여러 사건과 오류가 있었으면 최소한 사과문구와 보상이라도 해줘야하는거 아닙니까? 뭔 사과 방식이 '너.그.양' 입니까? 이건 그냥 유저로 보는게 아니라 개돼지로 보는거 같습니다. 업데이트만 하면 오류.. 데이터 그대로 가져오는 아니었나요? 설마 확률을 건드려서 오류 생기는건 아니겠죠? 오죽하면...,1.0,228,2019-5-21
리뷰 합니다. 솔로몬 타이밍이 안좋았던가 아니면 잔느 산타릴리 얼터인지 뭔지 하는 캐릭터가 나오는 이벤트가 문제였는지는 모르겠지만 여러분 저희는 지금 마신주들 잡아야합니다. 그 이벤트가 우리의 사과를 없애지만 않았다면 벌써 끝나지 않을까 하는 생각이 들지만 그래도 어쩌겠습니다. 우리는 재료와 qp가 부족한 것을요.. 이런 문제를 생각하셨으면 더 좋았을거라 생각합니다. 그래도 재미있습니다. 이벤트로 인해 스토리에 지장이 생길지는 모르겠지만..,5.0,3,2018-12-25
"스토리가 5,6,7장 빼곤 별로였지만 텍스트가 많아서 좋았다. 편의성 개선이나 모션 개편 같은건 일본에서 한것도 좀 해줬으면 좋겠다.",5.0,0,2019-1-5
이...쉬......가챠는 나쁜 문명입니다. 열심히 해봤자 돈없으면 좋은 서번트 못얻고요. 나머지는 그럭저럭 입니다. 스토리는 재미있고요 하고싶으면 맨 앞줄을 다시 읽으시고 고려해 보세요. 가챠는 나쁜 문명입니다. 운영진은 듣고있냐!!!!!!!!!!!,2.0,5,2019-6-4
몇년전부터 현재까지도 열심히 플레이하고 있었는데 오늘 게임에 들어가니 인증정보를 찾을수 없다고 강제종료가 계속 되었습니다. 그래서 게임을 삭제하고 다시 다운해보았지만 똑같이 되지 않아요.. 이 부분을 빨리 고쳐주시기를 바랍니다,3.0,18,2019-9-20
예전에 했던 게임인데 연동한 구글 계정의 비밀번호가 기억이 안나서 플레이 할 수가 없어요 구글 계정 아이디랑 유저 아이디는 기억하고 있는데 예전 계정 찾을 방법 없나요????,5.0,0,2019-9-26
오랜만에 하니까 재미있다 이번에는 500일 연속 출석이다 (전에는 250정도),5.0,4,2020-2-8
딴건 다 괜찮은데 스토리 해금 3성카드들이 초창기 외엔 프포로 안나오는데 왜이러죠?설마 3성도 성정석으로만 나오는 건가요? 특히 한국은 어차피 이벤트 릴레이할건데 픽업도 아닌 소환에 성정석을 얼마나 쓸수 있다고...,3.0,0,2018-10-22
왜 이러는 건가요? 솔직히 게임 자체는 너무 재미있습니다. 근데 갑자기 무한로딩을 하기도 하고 갑자기 다운서버와의 연결이 끊어 지기도 합니다.게다가 타이틀로 돌아가도 보안시스템이 바뀌었다고 나옵니다,4.0,0,2019-8-1
카드 커맨드 고르기 전으로는 못 돌아가는 겁니까?  일판에서는 오른쪽 하단에 돌아가는 것이 있던데 왜 한국에는 없는건지... 꼭 필요합니다...,3.0,39,2019-1-18
45성 확률이.... 좀....잘안나오네요.. 세이버 얼터가 풀릴때까지 기다리겠습니다. 나머지부분은 전부만족.,4.0,0,2020-1-19
역시 최고의 게임사답게 잘만드셨네요 역시는 역시 역시의 돈마블 믿고 게임합니다 그런데 퀘스트가 오류라며 게임에 안들어가지네요? 돈에만 치우치다보니 영혼을 파셨나,5.0,0,2019-5-11
안녕하세요 갑작스레 문제가 생겼습니다. 페그오 접속중 자꾸 인증정보를 불러올수 없습니다라고 뜹니다. 게임을 아무리 재시작해도 접속이 안됩니다. 답변 부탁드립니다,5.0,0,2019-5-19
"오픈때부터 하고 있는 유저입니다. 오픈 초기에는 나름대로 자체 이벤트도 많이하고, 보상도 많이 주고, 유저들 의견도 잘 받는 듯 하였으나 테스트계정(슈퍼계정) 사건과 더불어 게임이 어느정도 고착화되고 나선 게임 내 검수가 제대로 이루어지지 않아 버그가 발생해도 보상을 제대로 지급하지 않으며, 주던 출석 보상도 빼버리며, 다른 서버에선 주던 게임내 재화도 한국에선 자체적으로 빼버리더군요. 가챠게임에서 가장 중요한 가챠확률도 하향된 적이 있었으며, 다른 미국이나 중국 서버에선 하고 있는 편의성 패치도 언제 해줄지도 잘 모르겠습니다. 게...",1.0,73,2019-5-1
지금 껏 잘하고있었는데 갑작이 게임 설정을 불러올 수 없다며 게임 실행을 못하고있습니다. 게임을 지웠다가 다시 깔아도 반복되니 확인부탁드립니다.,2.0,0,2019-1-5
어떤분이 가챠확률로 문제 삼으셨는데 이 게임에서 가챠는 그저 재미와 좋아하는 캐릭터를 쓰기 위함이에요 이 게임 13성조합으로만으로도 깰 수 있게 만들어져 있어서 클리어에는 문제가 없어요,5.0,6,2019-1-27
갤럭시 s10 5g 쓰는데 앱 화면 비율을 자동에서 전체화면으로 바꿨더니 화면 양쪽이 이상하게 짤리네요. 다시 바꿔도 똑같이 짤려나와서 전체화면으로 플레이가 불가능합니다.,5.0,0,2019-10-3
"배포캐,3성서번으로도 충분히 진행가능하지만 전체캐릭터 절반이넘는 5성서번트...극악의 가챠확률...정말 일곱나이츠정도는 우습게 보이는 비비지도못할 가챠확률입니다 멋모르고 도전하지마세요",3.0,1,2019-4-30
스토리 탄탄한 게임을 좋아하는 저에게는 괜찮은 게임이 아닌가 싶네요. 혹시 스토리 좋아하시는 분들은 한 번 해보세요..,5.0,0,2018-9-28
"현재 5성 리스트. 청밥 2, 못드, 알테라, 길가 2, 랜마모, 카르나, 마마, 금토끼, 나이팅.... 현재 육성 완료는.. 알테라, 길가, 랜마모, 마마, 금토끼..... ",5.0,0,2020-5-28
오늘 아침에 접속하려고 하니까 인증정보를 불러올 수없다고 게임을 다시 시작하라네요. 핸드폰 껐다켜봐도 안되고요. 어떻게 해야되요?,4.0,1,2019-5-19
내가 게임을 일주일 이상한 적이 없는데 이 게임은 페이트 시리즈를 좋아하는 나를 푹빠지게 했지만 뽑기확률 0.01%는 위에 말했던 칭찬이 소용이 없어진다(즉 뽑기 확률좀 높여주셈),3.0,0,2019-6-1
저는 페스나를 좋아해서 페그오를 플레이하고 있는유저입니다. 그렇지만 페그오에 과금은 1원도 안하고 4성 5성 얻은적이 있습니다. 한마디로 결국에는 과금을 하던 안하던 가챠는 운이 따라줘야 이말이죠. 결국에는 게임에 과금을 많이 한다고 게임플레이가 즐거워지는 것도 아니고 그 유저가 어떻게 플레이를 하느냐에 달려있는것이 아닐까 생각합니다. 결국에는 게임은 돈이 많다고 좋은것이 아닙니다. 페그오가 무슨 경쟁을하는 컨텐츠가 있는것도 아닌데 말이죠.,4.0,1,2019-6-15
넷마블치고 운영은 좋다. 그런데 가챠 확률이 너무나도 낮고 재화도 비싸고 천장도 없다. 대신 PVP가 없어서 공멀젤만 있으면 욕심 부릴건 없다.,4.0,1,2019-8-8
강화 퀘스트나 스토리를 진행하려고 진입하는 지구본 애니메이션이 중간에 멈추는 현상이 계속 발생해서 게임 자체의 진행이 안되네요 최적화던지 버그던지 빠르게 해결좀 해주세요,1.0,0,2019-8-22
"아니 저기요 잘만플레이하다가 구글계정연동할려고하니 인증정보불러올수없다면서 계속 실행이안되요 앱을껐다켜도, 삭제했다 다시깔아도 안됩니다 뭐하자는겁니까? 빨리고쳐주세요",1.0,0,2019-10-11
오랜만에 접속했습니다만... 게임 진행이 안되요. 타이틀에서 시나리오로 진입할수 없습니다. 아무런 화면이 안나와요. 왜그런가요? 영정인가요? 어디로 문의해야되나요?,1.0,0,2019-11-10
네 처음에는 가차확률 거지같다 해서 하기 꺼려졌는데 뭐 해보니 무과금으로도 5성 뽑을 수 있고 4성도 적당히 뽑을 수 있어서 습니다 그런데 1%확률이 100번 뽑아 꼭 1번 나온다고 하시는 분들은 확률 안 배우신듯,5.0,0,2018-9-16
